fid,event,last_alive,first_stan,last_stand,first_gap,notes,confirmed,centroid_x,centroid_y,area
22,standing&b/u,,2016-06,2017-12,2018-06,,checked,556651.360,9533727.893,105.412
23,standing&b/u,,2016-06,2017-06,2017-12,,checked,555897.816,9533599.821,156.257
46,standing&b/u,2016-06,2016-12,2023-04,2023-10,very few branches and mostly gap now,checked,561176.381,9523245.382,106.495
62,standing&b/u,2018-06,2018-12,2019-06,2020-06,,checked,563785.032,9527067.637,207.746
66,b/u,2023-09,,,2023-10,,checked,563329.777,9527728.359,265.294
69,b/u,2020-10,,,2020-12,,checked,555019.714,9526572.305,181.626
74,standing&b/u,2020-09,2020-10,2021-10,2021-12,,checked,554073.360,9527954.391,277.506
78,standing&b/u,2019-06,2019-12,2020-11,2021-05,,checked,554680.759,9530289.423,289.132
81,standing&b/u,2018-12,2019-12,2021-09,2022-08,,checked,564005.034,9530469.680,189.684
82,standing&b/u,2018-12,2019-12,2022-06,2022-10,,checked,564268.741,9530225.558,94.460
84,standing&b/u,2018-12,2019-12,2023-09,2023-10,,checked,563130.787,9528778.839,213.693
118,standing&b/u,2018-12,2019-12,2021-09,2021-10,,checked,558579.179,9535924.733,159.132
123,standing&b/u,2019-06,2019-12,2020-12,2021-05,,checked,565316.102,9533577.140,76.915
124,b/u,2023-02,,,2023-03,,checked,564368.055,9529369.220,223.684
126,standing&b/u,2020-06,2021-02,2023-02,2023-11,"mostly gap by 2023-11, some branches but mostly shade",checked,561296.376,9528720.228,122.413
157,standing&b/u,2022-02,2022-05,2022-09,2022-11,,checked,552798.436,9515303.465,345.937
160,b/u,2023-08,,,2023-11,,checked,553948.339,9515088.552,160.608
187,b/u,2023-10,,,2023-11,,checked,554290.587,9510760.365,145.863
205,b/u,2022-11,,,2023-02,,checked,559959.970,9520737.247,106.962
239,standing&b/u,2022-03,2022-05,2023-07,2023-12,standing but mostly gap,checked,556947.604,9529984.513,81.240
241,standing&b/u,2022-09,2022-11,2023-09,2023-10,,checked,556935.178,9531139.745,201.806
271,standing&b/u,2022-03,2022-06,2023-06,2023-07,,checked,551800.387,9531127.710,412.328
278,b/u,2022-09,,,2023-02,,checked,554848.946,9530918.127,155.202
288,standing&b/u,2022-09,2022-10,2023-01,2023-04,,checked,559388.420,9530670.996,203.083
303,standing&b/u,2021-10,2021-12,2022-09,2022-12,,checked,556105.861,9526990.916,491.208
330,b/u,2022-12,,,2023-04,,checked,556238.327,9527486.116,220.983
332,b/u,2022-12,,,2023-02,,checked,554385.785,9527006.291,160.602
353,standing&b/u,2022-12,2023-02,2023-09,2023-11,,checked,557541.639,9522425.393,60.708
386,standing&b/u,2022-07,2022-09,2022-12,2023-05,,checked,557468.799,9519359.357,195.601
387,b/u,2023-09,,,2023-10,,checked,561680.774,9519150.512,497.295
393,b/u,2022-11,,,2023-04,,checked,558469.475,9520096.387,111.517
397,standing&b/u,2022-07,2022-10,2023-09,2023-10,,checked,560608.276,9520111.855,66.101
413,b/u,2022-12,,,2023-05,,checked,565088.208,9519636.769,201.478
415,standing&b/u,2020-11,2021-02,2023-02,2023-10,still standing but mostly gap,checked,564156.851,9523985.655,156.238
417,b/u,2018-06,,,2020-06,,checked,558698.777,9521596.283,300.861
418,b/u,2023-09,,,2023-12,,checked,557110.405,9522239.857,329.619
419,standing&b/u,2022-11,2022-12,2023-09,2024-02,,checked,558515.050,9521202.905,577.025
433,standing&b/u,2021-11,2022-03,2023-06,2024-02,standing but mainly gap,checked,556023.536,9525024.306,38.999
487,b/u,2021-12,,,2022-02,,checked,561827.669,9514253.158,104.711
504,b/u,2022-09,,,2022-12,,checked,561308.443,9512701.036,242.804
505,standing&b/u,2022-12,2023-02,2023-09,2024-02,,checked,561891.819,9512891.764,193.730
506,standing&b/u,2021-10,2021-11,2022-10,2022-12,,checked,562103.266,9512779.003,338.578
508,standing&b/u,2019-12,2020-12,2023-06,2024-01,standing but mostly gap now,checked,561460.640,9513040.882,146.844
515,standing&b/u,2021-11,2022-01,2023-02,2023-04,,checked,562524.660,9510438.324,131.265
525,b/u,2022-10,,,2022-11,,checked,562383.640,9510396.220,117.150
552,b/u,2021-10,,,2022-07,,checked,563473.392,9508290.726,597.641
564,b/u,2022-12,,,2023-02,,checked,559908.817,9515403.214,104.843
565,standing&b/u,2021-10,2021-12,2023-09,2023-11,standing but mainly gap,checked,559668.881,9515515.970,137.991
571,b/u,2022-12,,,2023-04,,checked,556558.059,9514239.957,159.533
585,standing&b/u,2022-06,2022-08,2023-09,2023-11,,checked,557811.317,9516586.940,362.206
589,b/u,2022-06,,,2022-08,,checked,560441.751,9523370.141,170.052
593,b/u,2023-09,,,2023-11,"tree trunk visible,  the tree fell over",checked,559743.523,9522476.304,245.696
606,b/u,2022-12,,,2023-06,,checked,556680.469,9513329.524,382.687
607,standing&b/u,2022-06,2023-02,2023-12,2023-02,,checked,556253.751,9525850.428,101.853
608,b/u,2021-11,,,2022-05,fell slowly over 6 months,checked,556086.551,9525824.224,245.099
619,b/u,2022-03,,,2022-06,,checked,559609.792,9519902.287,221.543
622,b/u,2022-11,,,2023-02,,checked,557074.342,9520428.249,110.975
626,standing&b/u,2020-11,2021-05,2022-06,2022-11,,checked,557680.309,9521955.075,131.150
630,b/u,2023-06,,,2023-11,,checked,556797.389,9522822.406,342.879
683,b/u,2023-09,,,2024-01,,checked,564685.575,9516644.965,301.570
684,b/u,2023-09,,,2023-10,,checked,564484.932,9516835.635,243.609
686,standing&b/u,2021-11,2022-06,2023-09,2024-02,,checked,562820.100,9516515.020,92.068
694,standing&b/u,2022-07,2022-09,2023-02,2023-05,,checked,558800.068,9517725.644,165.894
709,standing&b/u,2022-04,2022-09,2023-06,2023-11,,checked,507869.375,9873419.678,195.777
712,b/u,2023-08,,,2023-09,,checked,508283.066,9876614.817,148.696
713,b/u,2022-12,,,2023-06,,checked,507893.583,9876700.406,449.266
715,b/u,2023-08,,,2023-09,,checked,508645.892,9876256.421,166.233
718,standing&b/u,2018-06,2019-06,2020-09,2021-07,,checked,508863.220,9876050.376,68.271
719,b/u,2021-02,,,2021-07,caused by tree west falling,checked,508876.956,9876045.560,115.488
723,b/u,2022-12,,,2023-01,,checked,509969.026,9878784.736,304.499
733,standing&b/u,2022-04,2022-08,2023-07,2023-11,,checked,512896.103,9875932.669,141.591
735,b/u,2023-07,,,2023-08,,checked,513076.247,9870388.148,380.096
736,b/u,2023-06,,,2023-08,,checked,513130.633,9870381.658,171.686
740,b/u,2023-08,,,2023-09,,checked,510680.793,9871450.291,258.096
742,b/u,2022-04,,,2022-06,,checked,510438.944,9871610.544,175.046
744,b/u,2021-11,,,2022-07,,checked,511146.958,9871770.208,109.726
747,standing&b/u,2022-08,2022-09,2023-04,2023-07,,checked,510771.404,9871795.251,166.836
754,b/u,2018-06,,,2019-06,,checked,509727.214,9872802.685,108.417
771,standing&b/u,2022-10,2022-12,2023-07,2024-02,,checked,508787.929,9876333.354,89.455
775,standing&b/u,2021-11,2022-08,2023-09,2023-10,,checked,512922.365,9874770.911,91.087
781,standing&b/u,2018-06,2019-06,2023-04,2023-08,,checked,881335.327,9548306.592,344.939
785,standing&b/u,2019-12,2020-06,2020-09,2020-12,,checked,884254.976,9550650.332,157.036
786,b/u,2019-06,,,2020-09,,cheched,884385.713,9548356.354,310.664
787,standing&b/u,2018-06,2018-12,2021-12,2022-11,,checked,881671.852,9548889.313,233.148
789,standing&b/u,2018-06,2019-12,2021-12,2022-03,,checked,877135.120,9543328.463,272.901
796,?b/u,2022-01,,2023-07,2022-06,check correct map (not plot 2),,274144.253,9644601.810,249.248
797,?b/u,2022-01,,,2022-06,check correct map (not plot 2),,274122.871,9644411.566,108.439
826,?b/u,2021-11,,,2022-06,check correct map (not plot 2),,275460.658,9556251.836,309.078
829,b/u,2022-06,,,2022-12,,checked,561542.431,9528809.395,1735.754
841,b/u,2022-12,,,2023-02,simple model missed this event,checked,556668.967,9539375.474,288.255
845,standing&b/u,2022-10,2022-11,2023-03,2023-04,,checked,559802.909,9540830.380,224.890
847,b/u,2020-12,,,2021-05,,checked,560011.155,9543665.898,167.034
857,b/u,2023-02,,,2023-04,,checked,563251.206,9543443.455,183.820
859,b/u,2022-07,,,2022-09,seasonal tree,checked,562677.519,9543415.505,214.389
862,b/u,2022-03,,,2022-06,,checked,563300.997,9543277.074,216.317
873,b/u,2022-10,,,2022-11,,checked,563405.116,9542911.046,108.727
900,standing&b/u,2022-04,2022-05,2023-09,2023-10,,checked,557030.542,9545170.316,261.533
916,standing&b/u,2022-02,2022-06,2022-12,2023-03,,checked,557763.042,9545156.072,126.156
928,b/u,2023-02,,,2023-04,,checked,562962.656,9542793.382,207.660
929,b/u,2021-06,,,2021-07,,checked,563341.995,9542584.734,139.086
932,standing&b/u,2021-07,2021-12,2022-12,2023-02,,checked,557513.376,9545470.754,69.625
934,b/u,2021-07,,,2022-03,,checked,557456.459,9545018.476,76.117
936,?b/u,2022-10,,,2022-11,,?,557663.011,9544779.686,41.274
938,b/u,2022-10,,,2022-11,,checked,557568.600,9544912.789,122.074
954,standing&b/u,2019-06,2019-12,2020-06,2020-11,,checked,558675.979,9548226.623,78.080
958,b/u,2022-03,,,2022-06,,checked,559284.896,9548405.319,85.460
962,b/u,2022-09,,,2022-10,,checked,559328.196,9548733.369,88.891
